unit_id,season,video_id,official_url,compilation_upload_date,segment_type,game_number,title,start_seconds,start_hms,end_seconds,end_hms,duration_seconds,duration_hms,quarter,game_author,game_author_candidate,game_author_status,original_episode_publication_date,episode_date_source,source_status,speaker_clean_status
TT-S01-INTRO,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=0s,2023-10-31,INTRO,,Начало,0,00:00:00,120,00:02:00,120,00:02:00,1,PENDING_AV_VERIFICATION,,,,,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G01,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=120s,2023-10-31,GAME,1,"Бонжур, мадам — пардон, месье",120,00:02:00,2306,00:38:26,2186,00:36:26,1,PENDING_AV_VERIFICATION,Антон Шастун,SECONDARY_QUIZ_ANSWER_KEY_CANDIDATE,2023-05-20,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G02,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=2306s,2023-10-31,GAME,2,Шляпа,2306,00:38:26,5375,01:29:35,3069,00:51:09,1,PENDING_AV_VERIFICATION,Сергей Матвиенко,SECONDARY_QUIZ_ANSWER_KEY_CANDIDATE,2023-05-27,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G03,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=5375s,2023-10-31,GAME,3,Перудо,5375,01:29:35,8626,02:23:46,3251,00:54:11,1,PENDING_AV_VERIFICATION,Дмитрий Позов,SECONDARY_QUIZ_ANSWER_KEY_CANDIDATE,2023-06-03,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G04,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=8626s,2023-10-31,GAME,4,Лото,8626,02:23:46,11398,03:09:58,2772,00:46:12,2,Арсений Попов,Арсений Попов,OFFICIAL_TRANSCRIPT_CONFIRMED,2023-06-10,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G05,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=11398s,2023-10-31,GAME,5,Пароль,11398,03:09:58,15178,04:12:58,3780,01:03:00,3,PENDING_AV_VERIFICATION,Антон Шастун,SECONDARY_QUIZ_ANSWER_KEY_CANDIDATE,2023-06-17,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G06,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=15178s,2023-10-31,GAME,6,Верю — не верю,15178,04:12:58,16664,04:37:44,1486,00:24:46,3,PENDING_AV_VERIFICATION,Дмитрий Позов,SECONDARY_QUIZ_ANSWER_KEY_CANDIDATE,2023-06-25,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G07,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=16664s,2023-10-31,GAME,7,Кубики,16664,04:37:44,18992,05:16:32,2328,00:38:48,3,Арсений Попов,Арсений Попов,OFFICIAL_TRANSCRIPT_CONFIRMED,2023-07-01,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-G08,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=18992s,2023-10-31,GAME,8,Чапаев,18992,05:16:32,21200,05:53:20,2208,00:36:48,4,PENDING_AV_VERIFICATION,Сергей Матвиенко,SECONDARY_QUIZ_ANSWER_KEY_CANDIDATE,2023-07-08,MYSHOWS_AND_EPGUIDES_SECONDARY_INDEX,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
TT-S01-FINALE,1,om6nokYjYFw,https://www.youtube.com/watch?v=om6nokYjYFw&t=21200s,2023-10-31,FINALE,,Финал,21200,05:53:20,22387,06:13:07,1187,00:19:47,4,PENDING_AV_VERIFICATION,,,,,OFFICIAL_DESCRIPTION_CHAPTER,NOT_STARTED
