video_id,title,format,upload_date,date_precision,duration_seconds,duration_hms,url,channel,source_status
BEwsvJa8ctE,ИМПРОВЛОГ | Vecherinka 3.0,ИМПРОВЛОГ / ИМПРОВИЗАЦИЯ ВЛОГ,2026-07-08,exact,5499,01:31:39,https://www.youtube.com/watch?v=BEwsvJa8ctE,ИМПРОКОМ,OFFICIAL_CHANNEL
Y_rvmnAS1Ck,Импровлог. «Четверо» | Короткометражка,ИМПРОВЛОГ / ИМПРОВИЗАЦИЯ ВЛОГ,2026-03-13,exact,982,00:16:22,https://www.youtube.com/watch?v=Y_rvmnAS1Ck,ИМПРОКОМ,OFFICIAL_CHANNEL
fbUERQ8mbS0,ИМПРОВЛОГ. Vecherinka 2.0 | Performance party,ИМПРОВЛОГ / ИМПРОВИЗАЦИЯ ВЛОГ,2026-02-09,exact,2764,00:46:04,https://www.youtube.com/watch?v=fbUERQ8mbS0,ИМПРОКОМ,OFFICIAL_CHANNEL
Cf4qW0DE3Hs,МАГАЗИН ИМПРОВИЗАТОРОВ | Коллекционный сборник игр «Тейбл Тайм 3»,ТЕЙБЛ ТАЙМ,2026-02-05,exact,1617,00:26:57,https://www.youtube.com/watch?v=Cf4qW0DE3Hs,ИМПРОКОМ,OFFICIAL_CHANNEL
2LhGOb6Z-X8,ГРОМКИЙ ВОПРОС. MONA,ГРОМКИЙ ВОПРОС,2026-01-22,exact,2902,00:48:22,https://www.youtube.com/watch?v=2LhGOb6Z-X8,ИМПРОКОМ,OFFICIAL_CHANNEL
JTR4n1Ay5_0,Импровлог. Тейбл Тайм | 5 сезон,ТЕЙБЛ ТАЙМ,2026-01-17,exact,1610,00:26:50,https://www.youtube.com/watch?v=JTR4n1Ay5_0,ИМПРОКОМ,OFFICIAL_CHANNEL
qYNcHPxbatw,«Четверо» | Короткометражка,ЧЕТВЕРО,2026-01-01,exact,1251,00:20:51,https://www.youtube.com/watch?v=qYNcHPxbatw,ИМПРОКОМ,OFFICIAL_CHANNEL
nLeKRgH8-Ws,ГРОМКИЙ ВОПРОС с Алёной Повышевой,ГРОМКИЙ ВОПРОС,2025-11-30,exact,4000,01:06:40,https://www.youtube.com/watch?v=nLeKRgH8-Ws,ИМПРОКОМ,OFFICIAL_CHANNEL
qcb4hnatzp8,ШОУ ИСТОРИИ | Учитель Лю,ШОУ ИСТОРИИ / ИМПРОВИЗАЦИЯ. ИСТОРИИ,2025-11-09,exact,2569,00:42:49,https://www.youtube.com/watch?v=qcb4hnatzp8,ИМПРОКОМ,OFFICIAL_CHANNEL
7MZZWt25HUY,ТЕЙБЛ ТАЙМ | 5 сезон,ТЕЙБЛ ТАЙМ,2025-11-01,exact,27213,07:33:33,https://www.youtube.com/watch?v=7MZZWt25HUY,ИМПРОКОМ,OFFICIAL_CHANNEL
3NA8lbLMfbw,ГРОМКИЙ ВОПРОС с Юлией Ахмедовой,ГРОМКИЙ ВОПРОС,2025-10-19,exact,3471,00:57:51,https://www.youtube.com/watch?v=3NA8lbLMfbw,ИМПРОКОМ,OFFICIAL_CHANNEL
6RnQfmYW3nw,ШОУ ИСТОРИИ | Зуб,ШОУ ИСТОРИИ / ИМПРОВИЗАЦИЯ. ИСТОРИИ,2025-09-28,exact,2095,00:34:55,https://www.youtube.com/watch?v=6RnQfmYW3nw,ИМПРОКОМ,OFFICIAL_CHANNEL
UrcYsb27LBk,ИМПРОВЛОГ. Vecherinka | Performance party,ИМПРОВЛОГ / ИМПРОВИЗАЦИЯ ВЛОГ,2025-09-15,exact,3156,00:52:36,https://www.youtube.com/watch?v=UrcYsb27LBk,ИМПРОКОМ,OFFICIAL_CHANNEL
2UslGZQlQuM,ГРОМКИЙ ВОПРОС с Василием Бейнаровичем,ГРОМКИЙ ВОПРОС,2025-09-07,exact,3408,00:56:48,https://www.youtube.com/watch?v=2UslGZQlQuM,ИМПРОКОМ,OFFICIAL_CHANNEL
5cgNCvo1OVw,ШОУ ИСТОРИИ | Писательница,ШОУ ИСТОРИИ / ИМПРОВИЗАЦИЯ. ИСТОРИИ,2025-08-17,exact,2958,00:49:18,https://www.youtube.com/watch?v=5cgNCvo1OVw,ИМПРОКОМ,OFFICIAL_CHANNEL
HpqSJIDZMkw,МАГАЗИН ИМПРОВИЗАТОРОВ | Настольная игра «Куча мала»,МАГАЗИН / ПРОМО,2025-08-11,exact,43,00:00:43,https://www.youtube.com/watch?v=HpqSJIDZMkw,ИМПРОКОМ,OFFICIAL_CHANNEL
wFKYXAf6wyw,ГРОМКИЙ ВОПРОС с XOLIDAYBOY,ГРОМКИЙ ВОПРОС,2025-07-27,exact,3898,01:04:58,https://www.youtube.com/watch?v=wFKYXAf6wyw,ИМПРОКОМ,OFFICIAL_CHANNEL
3nRkP21Vs0o,ШОУ ИСТОРИИ | Скрытная,ШОУ ИСТОРИИ / ИМПРОВИЗАЦИЯ. ИСТОРИИ,2025-07-06,exact,2868,00:47:48,https://www.youtube.com/watch?v=3nRkP21Vs0o,ИМПРОКОМ,OFFICIAL_CHANNEL
fpCIKE2deos,ГРОМКИЙ ВОПРОС с Бастой,ГРОМКИЙ ВОПРОС,2025-06-21,exact,3425,00:57:05,https://www.youtube.com/watch?v=fpCIKE2deos,ИМПРОКОМ,OFFICIAL_CHANNEL
cQmWhFmWdHQ,ИМПРОВЛОГ. Международный тур,ИМПРОВЛОГ / ИМПРОВИЗАЦИЯ ВЛОГ,2025-05-27,exact,4929,01:22:09,https://www.youtube.com/watch?v=cQmWhFmWdHQ,ИМПРОКОМ,OFFICIAL_CHANNEL
9YUd-zoXG1Q,ШОУ ИСТОРИИ | Весь мир — театр,ШОУ ИСТОРИИ / ИМПРОВИЗАЦИЯ. ИСТОРИИ,2025-05-25,exact,2372,00:39:32,https://www.youtube.com/watch?v=9YUd-zoXG1Q,ИМПРОКОМ,OFFICIAL_CHANNEL
CeXQUN0rBOk,ИМПРОВИЗАТОРЫ | Нам 9 лет,РЕАКЦИЯ / ЮБИЛЕЙ / МЕТА-ШОУ,2025-05-15,exact,8247,02:17:27,https://www.youtube.com/watch?v=CeXQUN0rBOk,ИМПРОКОМ,OFFICIAL_CHANNEL
2W3RJL8UsUA,ГРОМКИЙ ВОПРОС с Егориком,ГРОМКИЙ ВОПРОС,2025-05-04,exact,3477,00:57:57,https://www.youtube.com/watch?v=2W3RJL8UsUA,ИМПРОКОМ,OFFICIAL_CHANNEL
am55MH6J2Ag,МАГАЗИН ИМПРОВИЗАТОРОВ | Коллекционный сборник игр «Тейбл Тайм 2». Второй тираж,ТЕЙБЛ ТАЙМ,2025-04-24,exact,83,00:01:23,https://www.youtube.com/watch?v=am55MH6J2Ag,ИМПРОКОМ,OFFICIAL_CHANNEL
TAAYHwq33I4,ТЕЙБЛ ТАЙМ | 4 сезон,ТЕЙБЛ ТАЙМ,2025-04-19,exact,24907,06:55:07,https://www.youtube.com/watch?v=TAAYHwq33I4,ИМПРОКОМ,OFFICIAL_CHANNEL
