video_id,title,url,catalog_upload_date,verified_upload_date,date_status,duration_seconds,duration_hms,format_tags,pilot_selected,pilot_tags,speaker_clean_status,naturalness,warning
Ni1Ro8WwihA,ИМПРОВИЗАЦИЯ ВЛОГ#2 / Что произошло в Подмосковье? / Как живёт Шастун? /  Какой Позов дома?,https://www.youtube.com/watch?v=Ni1Ro8WwihA,2020-08,2019-11-14,PAGE_VERIFIED,1362,00:22:42,['MIXED_VLOG'],True,"['DOMESTIC_PROXY', 'PACKING', 'HOME_VISIT', 'SHOW_CLOTHES']",NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
f4ud2Nmk9pA,ИМПРОВИЗАЦИЯ ВЛОГ#6 / Гастроли по Сибири,https://www.youtube.com/watch?v=f4ud2Nmk9pA,2020-08,2020-01-31,PAGE_VERIFIED,2779,00:46:19,['TRAVEL'],True,"['TRAVEL', 'FATIGUE', 'SHOPPING', 'COLD', 'HOTEL']",NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
C-KFgM8Uekg,ИМПРОВИЗАЦИЯ ВЛОГ #7 / Съёмки пилотного выпуска «Импровизация. Команды»,https://www.youtube.com/watch?v=C-KFgM8Uekg,2020-08,,approx_month,838,00:13:58,['BACKSTAGE'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
D-ogxKI_vjg,ИМПРОВИЗАЦИЯ ВЛОГ#3 / Шастуна легко обмануть? / Кому что подарили? /  Что было на концерте в Москве?,https://www.youtube.com/watch?v=D-ogxKI_vjg,2020-08,,approx_month,754,00:12:34,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
Ji3tA67jNkw,ИМПРОВИЗАЦИЯ ВЛОГ#4 / Беларусь,https://www.youtube.com/watch?v=Ji3tA67jNkw,2020-08,,approx_month,2417,00:40:17,['TRAVEL'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
e1AviIQlJdw,"ИМПРОВИЗАЦИЯ ВЛОГ#5 / Съёмки «Где логика?», «Пятница с Региной», Новогодняя Импровизация",https://www.youtube.com/watch?v=e1AviIQlJdw,2020-08,,approx_month,1378,00:22:58,['BACKSTAGE'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
ww7r0LNap_E,ИМПРОВИЗАЦИЯ ВЛОГ#1 / Крыса в коллективе? / Шастун играет блюз? / Что такое техничка?,https://www.youtube.com/watch?v=ww7r0LNap_E,2020-08,,approx_month,820,00:13:40,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
2AsA8iv70OI,ИМПРОВИЗАЦИЯ ВЛОГ #13 | 5 лет в эфире! | Юбилейный выпуск,https://www.youtube.com/watch?v=2AsA8iv70OI,2021-03-04,,exact,933,00:15:33,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
DmSyP9uDmkU,ИМПРОВИЗАЦИЯ ВЛОГ #14 | Дальний Восток,https://www.youtube.com/watch?v=DmSyP9uDmkU,2021-07-22,,exact,2721,00:45:21,['TRAVEL'],True,"['TRAVEL', 'LONG_FLIGHT', 'FOOD', 'GROUP_HELP']",NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
5ap7bZDvcnw,ИМПРОВИЗАЦИЯ ВЛОГ #12 | С Новым годом! | Воронеж,https://www.youtube.com/watch?v=5ap7bZDvcnw,2021-08,,approx_month,826,00:13:46,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
UnkdTV9Wpx0,ИМПРОВИЗАЦИЯ ВЛОГ #9 | Студия Союз,https://www.youtube.com/watch?v=UnkdTV9Wpx0,2021-08,,approx_month,652,00:10:52,['BACKSTAGE'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
XJ741eFeA_Q,ИМПРОВИЗАЦИЯ ВЛОГ #10 | TikTok дом,https://www.youtube.com/watch?v=XJ741eFeA_Q,2021-08,,approx_month,734,00:12:14,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
bpAleKxWg3U,ИМПРОВИЗАЦИЯ ВЛОГ #11 | Первый концерт после карантина | Питер,https://www.youtube.com/watch?v=bpAleKxWg3U,2021-08,,approx_month,974,00:16:14,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
dkNHp1okh6s,ИМПРОВИЗАЦИЯ ВЛОГ #8 | НОВЫЙ СЕЗОН,https://www.youtube.com/watch?v=dkNHp1okh6s,2021-08,,approx_month,803,00:13:23,['BACKSTAGE'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
novGWE-zYDo,ИМПРОВЛОГ | Как создавалось шоу «Импровизаторы»,https://www.youtube.com/watch?v=novGWE-zYDo,2024-08,,approx_month,3363,00:56:03,['BACKSTAGE'],True,"['PROFESSIONAL_BACKSTAGE', 'SHOW_CREATION']",NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
cQmWhFmWdHQ,ИМПРОВЛОГ. Международный тур,https://www.youtube.com/watch?v=cQmWhFmWdHQ,2025-05-27,,exact,4929,01:22:09,['TRAVEL'],True,"['CURRENT_TRAVEL', 'SHOPPING', 'COLLECTING', 'ILLNESS', 'GIFTS']",NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
UrcYsb27LBk,ИМПРОВЛОГ. Vecherinka | Performance party,https://www.youtube.com/watch?v=UrcYsb27LBk,2025-09-15,,exact,3156,00:52:36,['MIXED_VLOG'],False,[],NOT_STARTED,N1_N2_EDITED_CAMERA_AWARE,"Actions can be selected, prompted or edited; stage/performance segments require separate coding."
